,country,year,kind,title,sid
191,Japan,2016,Drama,Good Morning Call,13637
206,Japan,2005,Drama,1 Litre no Namida,1
218,Japan,2007,Drama,Hanazakari no Kimitachi e,2953
226,Japan,2006,Drama,Nodame Cantabile,31
228,Japan,2011,Drama,Ouran High School Host Club,2219
306,Japan,2014,Movie,Black Butler,5545
307,Japan,2014,Movie,Blue Spring Ride,8682
361,Japan,2010,Movie,From Me to You,123
372,Japan,2017,Drama,Good Morning Call: Our Campus Days,15807
394,Japan,2020,Drama,Imawa no Kuni no Alice,27445
496,Japan,2012,Movie,Ouran High School Host Club The Movie,3197
511,Japan,2008,Drama,RH Plus,155
632,Japan,2007,Drama,Abarenbo Mama,294
633,Japan,2008,Drama,Celeb to Binbo Taro,184
635,Japan,2003,Drama,Kimi wa Petto,22
636,Japan,2010,Drama,Q10,142
637,Japan,2009,Drama,Shokojo Seira,609
638,Japan,2009,Drama,Smile,15
640,Japan,2009,Drama,0 Goshitsu no Kyaku,185
641,Japan,2007,Drama Special,1 Litre no Namida Special,3066
642,Japan,2005,Movie,1 Litre of Tears,305
643,Japan,2008,Drama,1 Pound no Fukuin,88
645,Japan,2010,Movie,13 Assassins,2074
648,Japan,2008,Movie,20th Century Boys 1: Beginning of the End,532
649,Japan,2009,Movie,20th Century Boys 2: The Last Hope,533
656,Japan,2004,Drama,Ace wo Nerae!,422
657,Japan,2008,Movie,Ai no Kotodama,2458
658,Japan,2009,Movie,Air Doll,1645
659,Japan,2008,Drama,Akai Ito,158
660,Japan,2008,Movie,Akai Ito,218
661,Japan,2004,Movie,Akai Tsuki,2095
662,Japan,2006,Drama,Akihabara@DEEP,558
663,Japan,2006,Movie,Akihabara@DEEP,559
664,Japan,2005,Drama,Anego,109
665,Japan,2011,Movie,Another Gantz,2737
666,Japan,2001,Drama,Antique,2092
669,Japan,2006,Movie,Arch Angels,696
670,Japan,2011,Movie,Ashita no Joe,2345
671,Japan,2009,Drama,Atashinchi no Danshi,21
672,Japan,2005,Drama,Attack No.1,404
675,Japan,2006,Drama,Attention Please,81
676,Japan,2007,Drama Special,Attention Please 2007,1760
677,Japan,2008,Drama Special,Attention Please 2008,1761
678,Japan,1999,Movie,Audition,764
679,Japan,2003,Movie,Azumi,176
680,Japan,2005,Movie,Azumi 2: Death or Love,177
682,Japan,2007,Drama,Bambino!,125
683,Japan,2010,Movie,Bandage,111
684,Japan,2011,Drama,Bartender,460
685,Japan,2000,Movie,Battle Royale,143
686,Japan,2003,Movie,Battle Royale II: Requiem,352
687,Japan,2000,Drama,Beautiful Life,777
688,Japan,2010,Movie,BECK,464
689,Japan,2008,Drama,Binbo Danshi,145
690,Japan,2008,Drama,Bloody Monday,13
691,Japan,2010,Drama,Bloody Monday Season 2,16
692,Japan,2006,Movie,Boys Love,1410
695,Japan,2009,Drama,Buzzer Beat,48
696,Japan,2006,Drama,Byakuyako,616
697,Japan,2009,Drama,Call Center no Koibito,702
699,Japan,2004,Movie,Casshern,291
700,Japan,2006,Movie,Cat Girl Kiki,6033
701,Japan,2008,Drama,Cat Street,275
702,Japan,2006,Movie,"Check It Out, Yo!",1704
704,Japan,2008,Drama,Code Blue,92
705,Japan,2010,Drama,Code Blue Season 2,93
706,Japan,2009,Drama Special,Code Blue Special,1879
709,Japan,2007,Movie,Crows Zero,0
710,Japan,2009,Movie,Crows Zero 2,2
711,Japan,2008,Movie,Cyborg She,389
712,Japan,2009,Movie,Dance Subaru,2007
713,Japan,2009,Drama,Dandy Daddy?,885
716,Japan,2009,Movie,Dear Doctor,2826
717,Japan,2007,Movie,Dear Friends,320
718,Japan,2006,Movie,Death Note,59
719,Japan,2006,Movie,Death Note: The Last Name,60
720,Japan,2007,Drama,Delicious Gakuin,192
721,Japan,2005,Drama,Densha Otoko,267
724,Japan,2007,Movie,Dororo,356
725,Japan,2005,Drama,Dragon Zakura,150
728,Japan,2009,Movie,Drop,297
731,Japan,2007,Drama,First Kiss,303
735,Japan,2009,Drama,Futatsu no Spica,370
736,Japan,2006,Drama,Gachi Baka!,403
737,Japan,2011,Movie,Gantz,1340
738,Japan,2011,Movie,Gantz: Perfect Answer,1341
739,Japan,2007,Movie,Gegege no Kitaro,509
740,Japan,2008,Movie,Gegege no Kitaro: Kitaro and the Millennium Curse,510
741,Japan,2009,Drama,Ghost Friends,86
742,Japan,2006,Movie,Gigolo Wannabe,812
744,Japan,2009,Drama,Godhand Teru,181
745,Japan,2002,Drama,Gokusen,24
746,Japan,2005,Drama,Gokusen 2,25
747,Japan,2008,Drama,Gokusen 3,26
748,Japan,2005,Drama Special,Gokusen Special 2,1758
749,Japan,2009,Drama Special,Gokusen Special 3,1759
750,Japan,2009,Movie,Gokusen: The Movie,52
753,Japan,1998,Drama,GTO,115
754,Japan,1998,Drama Special,GTO: Special,2629
755,Japan,1999,Movie,GTO: The Movie,2405
756,Japan,2005,Drama,H2: Kimi to Ita Hibi,1706
757,Japan,2008,Drama,Hachi-One Diver,2738
758,Japan,2008,Drama,Hachimitsu to Clover,153
759,Japan,2007,Drama,"Haikei, Chichiue-sama",462
760,Japan,2007,Drama,Haken no Hinkaku,969
761,Japan,2005,Drama,Hana Yori Dango,2951
762,Japan,2007,Drama,Hana Yori Dango 2,2952
763,Japan,2007,TV Show,Hana yori Dango 2 (Returns) Bangai hen: Makinoke Hajimete no Kazoku Ryoko in N.Y.,2190
764,Japan,2008,Movie,Hana Yori Dango Final,29
765,Japan,2008,Drama Special,Hana Yori Dango Special Final,2766
766,Japan,2008,Drama Special,Hanazakari no Kimitachi e Special,1762
767,Japan,2007,Drama,Happy Boys,372
771,Japan,2009,Movie,Heaven's Door,595
772,Japan,2001,Drama,Hero,156
774,Japan,2009,Drama Special,Hidarime Tantei EYE,1773
775,Japan,2011,Movie,High School Debut,1292
776,Japan,2005,Movie,Hinokio,1577
777,Japan,2008,Drama,Hokaben,722
779,Japan,2006,Movie,Honey and Clover,1669
781,Japan,2009,Movie,Honokaa Boy ,3459
782,Japan,2007,Drama,Hotaru no Hikari,73
783,Japan,2007,Drama,Hotelier,960
784,Japan,2009,Movie,How to Date an Otaku Girl,246
786,Japan,2008,Movie,Ichi,1608
787,Japan,2000,Drama,Ikebukuro West Gate Park,1496
788,Japan,2011,Drama,Ikemen Desu Ne,2261
789,Japan,2008,Movie,Ikigami: The Ultimate Limit,424
790,Japan,2008,Drama,Innocent Love,159
791,Japan,1996,Drama,Itazura na Kiss,301
793,Japan,2006,Drama,Jigoku Shoujo,401
794,Japan,2007,Drama,Jotei,1335
796,Japan,2009,Movie,Kaiji,232
797,Japan,2009,Drama,Kamen Rider Decade,2527
798,Japan,2007,Drama,Kamen Rider Den-O,3067
799,Japan,2008,Drama,Kamen Rider Kiva,2528
800,Japan,2009,Drama,Kamen Rider W,2525
801,Japan,2009,Drama,Kami no Shizuku,133
802,Japan,2004,Movie,Kamikaze Girls,308
803,Japan,2009,Drama,Karei naru Spy,681
804,Japan,2008,Drama,Kaze no Garden,1397
805,Japan,1995,Drama,Kindaichi Shonen no Jikenbo,2318
806,Japan,2001,Drama,Kindaichi Shonen no Jikenbo 3,2320
807,Japan,2002,Drama,Kisarazu Cat's Eye,645
808,Japan,2003,Movie,Kisarazu Cats Eye: Nihon Series,2454
810,Japan,2009,Drama,Koishite Akuma,68
811,Japan,2008,Drama,Koizora,42
812,Japan,2008,Drama,Koshonin,537
813,Japan,2007,Drama Special,Kudo Shinichi no Fukkatsu! Kuro no Soshiki to no Taiketsu,1965
814,Japan,2006,Drama,Kurosagi,43
815,Japan,2008,Movie,Kurosagi: The Movie,130
816,Japan,2008,Movie,L: Change the World,61
817,Japan,2004,Drama,Last Christmas,1899
818,Japan,2008,Drama,Last Friends,1289
819,Japan,2004,Movie,Last Quarter of the Moon,219
820,Japan,2007,Drama,Liar Game,39
822,Japan,2002,Drama,Long Love Letter,473
823,Japan,2009,Movie,Love Exposure,1583
824,Japan,2009,Drama,LOVE GAME,1494
825,Japan,2006,Movie,Love on Sunday,3031
826,Japan,2009,Drama,Love Shuffle,114
827,Japan,2006,Movie,Lovely Complex,83
828,Japan,2009,Movie,M.W.,381
830,Japan,2009,Drama,Majo Saiban,287
831,Japan,2008,Drama,Maou,91
832,Japan,2010,Movie,Maria Watches Over Us,2065
837,Japan,2009,Drama,Mei-chan no Shitsuji,28
838,Japan,2011,Drama,Meitantei Conan,2666
839,Japan,2006,Drama Special,Meitantei Conan: Kudo Shinichi he no Chosenjo,1963
840,Japan,2009,Drama,Meitantei no Okite,348
841,Japan,2008,Drama,Mendol,169
842,Japan,2012,Drama,Mikeneko Holmes no Suiri,3783
843,Japan,2011,Drama,Misaki Number One!!,413
845,Japan,2010,Drama,Moyashimon,265
846,Japan,2009,Drama,Mr. Brain,76
847,Japan,2006,Drama,"My Boss, My Hero",97
852,Japan,2009,Drama,My Girl,72
859,Japan,2007,Movie,"My Sister, My Love",1348
863,Japan,2005,Movie,Nana,103
864,Japan,2006,Movie,Nana 2,104
865,Japan,2011,Drama,Nazotoki wa Dinner no Ato de,2966
866,Japan,2001,Drama,Neverland,2308
868,Japan,2005,Drama,Nobuta wo Produce,2956
869,Japan,2008,Drama Special,Nodame Cantabile in Europe,1766
870,Japan,2008,Drama,Oh! My Girl!!,398
872,Japan,2009,Drama,Ohitorisama,63
873,Japan,2004,Movie,One Missed Call,408
874,Japan,2006,Movie,One Missed Call Final,546
875,Japan,2009,Movie,Oppai Volleyball,1612
876,Japan,2009,Drama,Oretachi wa Tenshi da!,328
877,Japan,2008,Movie,Orochi,1638
878,Japan,2009,Drama,Orthros no Inu,84
879,Japan,2009,Drama,Otomen,119
880,Japan,1999,Drama,P.P.O.I.,611
881,Japan,2011,Movie,Paradise Kiss,1031
882,Japan,2004,Movie,Pika**nchi Life Is Hard Therefore Happy,649
883,Japan,2002,Movie,Pika*nchi Life Is Hard However Happy,648
885,Japan,2003,Drama,Pretty Guardian Sailor Moon,323
886,Japan,2004,Drama,Pride,488
887,Japan,2006,Drama,Princess Princess D,593
888,Japan,2007,Drama,Proposal Daisakusen,79
889,Japan,2006,Drama,Psychic Detective Yakumo,2411
890,Japan,2009,Drama,Q.E.D.,458
891,Japan,2006,Drama,Regatta,560
892,Japan,2009,Drama,RESCUE,268
893,Japan,2012,Drama,"Rich Man, Poor Woman",4177
896,Japan,2008,Drama,Rookies,166
897,Japan,2008,Drama Special,Rookies SP,1774
898,Japan,2009,Movie,Rookies: Graduation,324
899,Japan,2008,Drama,Room of King,664
900,Japan,2008,Drama,Ryusei no Kizuna,101
901,Japan,2010,Drama Special,Saigo no Yakusoku,1749
902,Japan,2012,Drama,Saikou no Jinsei no Owarikata - Ending Planner,3094
903,Japan,2009,Drama,Samurai High School,10
904,Japan,2006,Drama,Sapuri,172
905,Japan,2009,Drama,Saru Lock,613
906,Japan,2008,Drama,Scrap Teacher,226
909,Japan,2007,Drama,Seito Shokun!,342
910,Japan,2008,Movie,Shaolin Girl,1026
911,Japan,2008,Drama,Shibatora,354
912,Japan,2007,Drama,Shigeshoshi,2018
913,Japan,2007,Drama,Shinigami no Ballad,470
914,Japan,2005,Movie,Shinobi: Heart Under Blade,224
915,Japan,2007,Movie,Sky of Love,65
918,Japan,2008,Movie,Someday's Dreamers,1575
919,Japan,2010,Movie,Space Battleship Yamato,2549
920,Japan,2000,Movie,Space Travelers,922
921,Japan,2003,Drama,Stand Up!!,563
922,Japan,2007,Movie,Sukitomo,1405
924,Japan,2010,Drama,Sunao ni Narenakute,64
926,Japan,2008,Drama,Tadashii Ouji no Tsukurikata,1644
927,Japan,2008,Movie,Taiikukan Baby,2469
928,Japan,2009,Movie,Tajomaru: Avenging Blade,412
929,Japan,2011,Movie,"Takumi-kun Series 5: That, Sunny Blue Sky",3291
930,Japan,2006,Drama,Tatta Hitotsu no Koi,55
931,Japan,2009,Drama,TEIOH,461
932,Japan,2008,Movie,The Blue Bird,653
934,Japan,2005,Movie,The Great Yokai War,714
935,Japan,2008,Movie,The Homeless Student,435
937,Japan,2008,Movie,The Last Princess,377
938,Japan,2006,Movie,The Prince of Tennis,266
939,Japan,2009,Drama,The Quiz Show 2,175
941,Japan,2004,Drama,Tokio,2315
942,Japan,2009,Drama,Tokyo DOGS,27
943,Japan,2008,Drama,Tokyo Ghost Trip,355
944,Japan,2008,Movie,Tokyo Sonata,2217
945,Japan,2010,Drama,Tumbling,51
946,Japan,2009,Drama,Uta no Onii-san,244
948,Japan,2004,Drama,Vampire Host,229
950,Japan,2009,Drama,Voice,263
951,Japan,2003,Drama,Water Boys,576
952,Japan,2004,Drama,Water Boys 2,577
953,Japan,2005,Drama Special,Water Boys Finale,578
954,Japan,2001,Movie,Waterboys,2524
957,Japan,2006,Drama,Yakusha Damashii,2240
958,Japan,2007,Drama,Yamada Taro Monogatari,561
959,Japan,2010,Drama,Yamato Nadeshiko Shichi Henge,17
960,Japan,2003,Drama,Yankee Bokou ni Kaeru,309
961,Japan,2005,Drama Special,Yankee Bokou ni Kaeru SP,1769
962,Japan,2010,Drama,Yankee-kun to Megane-chan,44
963,Japan,2006,Drama,YAOH - King of the Night,2343
964,Japan,2008,Drama,Yasuko to Kenji,302
965,Japan,2009,Movie,Yatterman,1619
966,Japan,2007,Movie,Yellow Tears,500
968,Japan,2007,Drama,Yukan Club,85
969,Japan,2006,Drama Special,Yuuki,1772
970,Japan,2010,Movie,Zebraman 2: Attack on Zebra City,780
971,Japan,2008,Drama,Zettai Kareshi,36
972,Japan,2009,Drama Special,Zettai Kareshi Special,1768
986,Japan,2014,Drama,Boku no Ita Jikan,7731
1004,Japan,1987,Movie,Hachiko Monogatari,2471
1010,Japan,2013,Drama,Itazura na Kiss: Love in Tokyo,6031
1035,Japan,2009,Movie,Nodame Cantabile: The Final Score - Part I,126
1036,Japan,2010,Movie,Nodame Cantabile: The Final Score - Part II,213
1044,Japan,2006,Movie,Rainbow Song,691
1055,Japan,2012,Drama,Sprout,4405
1086,Japan,1969,Movie,All Monsters Attack,4601
1087,Japan,1983,Drama,Andro Melos,41984
1088,Japan,1963,Movie,Atragon,4689
1089,Japan,2022,Drama,Avataro Sentai Donbrothers,44941
1090,Japan,1979,Drama,Battle Fever J,4727
1091,Japan,1959,Movie,Battle in Outer Space,4710
1092,Japan,1991,Drama,Chojin Sentai Jetman,4341
1093,Japan,1988,Drama,Choujuu Sentai Liveman,4135
1094,Japan,1986,Drama,Choushinsei Flashman,7985
1095,Japan,1966,Movie,Daimajin,4840
1096,Japan,1985,Drama,Dengeki Sentai Changeman,7981
1097,Japan,1980,Drama,Denshi Sentai Denziman,7916
1098,Japan,1968,Movie,Destroy All Monsters,4600
1099,Japan,2020,Drama,Dogengers,32335
1100,Japan,2021,Drama,Dogengers: Nice Buddy,40679
1101,Japan,1964,Movie,Dogora,4713
1102,Japan,1966,Movie,"Ebirah, Horror of the Deep",4592
1103,Japan,1965,Movie,Frankenstein Conquers the World,4728
1104,Japan,1996,Movie,Gamera 2: Advent of Legion,4391
1105,Japan,1999,Movie,Gamera 3: Revenge of Iris,4394
1106,Japan,2006,Movie,Gamera the Brave,4787
1107,Japan,1966,Movie,Gamera vs. Barugon,4772
1108,Japan,1969,Movie,Gamera vs. Guiron,4780
1109,Japan,1967,Movie,Gamera vs. Gyaos,4777
1110,Japan,1970,Movie,Gamera vs. Jiger,4781
1111,Japan,1968,Movie,Gamera vs. Viras,4778
1112,Japan,1971,Movie,Gamera vs. Zigra,4785
1113,Japan,1995,Movie,Gamera: Guardian of the Universe,4392
1114,Japan,1980,Movie,Gamera: Super Monster,4786
1115,Japan,1965,Movie,Gamera: The Invincible,4750
1116,Japan,2005,Drama,GARO,2447
1117,Japan,2013,Movie,Garo and the Wailing Dragon,6070
1118,Japan,2006,Drama Special,Garo Special: Beast of the Midnight Sun,2448
1119,Japan,2011,Drama,Garo: Makai Senki,3010
1120,Japan,2013,Drama,GARO: The One Who Shines in the Darkness,6088
1122,Japan,1996,Drama,Gekisou Sentai Carranger,4890
1123,Japan,1964,Movie,"Ghidorah, the Three-Headed Monster",4553
1124,Japan,2021,Drama,Girl Gun Lady,39773
1125,Japan,1954,Movie,Godzilla,4384
1126,Japan,1984,Movie,Godzilla,4506
1127,Japan,1999,Movie,Godzilla 2000: Millennium,4631
1128,Japan,1955,Movie,Godzilla Raids Again,4590
1129,Japan,1989,Movie,Godzilla vs. Biollante,4424
1130,Japan,1995,Movie,Godzilla vs. Destoroyah,4627
1131,Japan,1972,Movie,Godzilla vs. Gigan,4614
1132,Japan,1971,Movie,Godzilla vs. Hedorah,4613
1133,Japan,1991,Movie,Godzilla vs. King Ghidorah,4623
1134,Japan,1974,Movie,Godzilla vs. Mechagodzilla,4616
1135,Japan,1993,Movie,Godzilla vs. Mechagodzilla,4625
1136,Japan,1973,Movie,Godzilla vs. Megalon,4615
1137,Japan,1992,Movie,Godzilla vs. Mothra,4554
1138,Japan,1994,Movie,Godzilla vs. SpaceGodzilla,4626
1139,Japan,2002,Movie,Godzilla X Mechagodzilla,4638
1140,Japan,2000,Movie,Godzilla X Megaguirus,4633
1141,Japan,2003,Movie,Godzilla X Mothra X Mechagodzilla: Tokyo S.O.S.,4640
1142,Japan,2001,Movie,"Godzilla, Mothra, & King Ghidorah: Giant Monsters All-Out Attack",4636
1143,Japan,2004,Movie,Godzilla: Final Wars,4401
1144,Japan,1995,Movie,Hakaider,4889
1145,Japan,2021,Drama,High-Speed Parahero Gandeen,40923
1146,Japan,1987,Drama,Hikari Sentai Maskman,4846
1147,Japan,1975,Drama,Himitsu Sentai Goranger,6546
1148,Japan,1965,Movie,Invasion of the Astro-Monster ,4507
1149,Japan,1977,Drama,J.A.K.Q. Dengekitai,6550
1150,Japan,2007,Drama,Juuken Sentai Gekiranger,3527
1151,Japan,1977,Drama,Kaiketsu Zubat,8616
1152,Japan,1971,Drama,Kamen Rider,4198
1153,Japan,2003,Drama,Kamen Rider 555,3318
1154,Japan,2001,Drama,Kamen Rider Agito,3263
1155,Japan,1974,Drama,Kamen Rider Amazon,4393
1156,Japan,1987,Drama,Kamen Rider Black,4251
1157,Japan,2022,Drama,Kamen Rider Black Sun,40647
1158,Japan,2004,Drama,Kamen Rider Blade,3262
1159,Japan,2011,Drama,Kamen Rider Fourze,3006
1160,Japan,2000,Drama,Kamen Rider Kuuga,3305
1161,Japan,2021,Drama,Kamen Rider Revice,42756
1162,Japan,2002,Drama,Kamen Rider Ryuki,3309
1163,Japan,2020,Drama,Kamen Rider Saber,34480
1164,Japan,1980,Drama,Kamen Rider Super-1,4396
1165,Japan,1973,Drama,Kamen Rider V3,4227
1166,Japan,1974,Drama,Kamen Rider X,4228
1167,Japan,2019,Drama,Kamen Rider Zero-One,27224
1168,Japan,2021,Drama,Kikai Sentai Zenkaiger,38718
1169,Japan,1967,Movie,King Kong Escapes,4732
1170,Japan,1962,Movie,King Kong vs. Godzilla,4555
1172,Japan,1992,Drama,Kyouryuu Sentai Zyuranger,4144
1173,Japan,2015,Movie,Love & Peace,10998
1174,Japan,2020,Drama,Mashin Sentai Kiramager,31204
1175,Japan,2009,Movie,Mega Monster Battle: Ultra Galaxy Legends,4967
1176,Japan,2000,Drama,Mirai Sentai Timeranger,4538
1177,Japan,1961,Movie,Mothra,4660
1178,Japan,1996,Movie,Mothra,4664
1179,Japan,1997,Movie,Mothra 2: The Undersea Battle,4666
1180,Japan,1998,Movie,Mothra 3,4667
1181,Japan,1964,Movie,Mothra vs. Godzilla,4591
1182,Japan,1994,Drama,Ninja Sentai Kakuranger,5584
1183,Japan,1966,Movie,Return of Daimajin,4843
1184,Japan,1971,Drama,Return of Ultraman,6848
1185,Japan,1956,Movie,Rodan,4735
1186,Japan,2016,Movie,Shin Godzilla,13029
1187,Japan,1987,Drama,Shoujo Commando Izumi,27370
1188,Japan,1967,Movie,Son of Godzilla,4593
1189,Japan,1981,Drama,Taiyo Sentai Sun Vulcan,4276
1190,Japan,1975,Movie,Terror of Mechagodzilla,4617
1191,Japan,1957,Movie,The Mysterians,4671
1193,Japan,1966,Movie,The War of the Gargantuas,4730
1194,Japan,2017,Drama,Ultra Fight Orb,17030
1195,Japan,2015,Drama,Ultra Fight Victory,17608
1196,Japan,2019,Drama Special,Ultra Galaxy Fight: New Generation Heroes,28214
1197,Japan,2020,Drama Special,Ultra Galaxy Fight: The Absolute Conspiracy,35247
1198,Japan,2008,Drama,Ultra Galaxy Mega Monster Battle: Never Ending Odyssey,5682
1199,Japan,2007,Drama,Ultra Galaxy: Mega Monster Battle,5014
1200,Japan,2012,Drama Special,Ultra Zero Fight,14392
1201,Japan,1966,Drama,Ultraman,4426
1202,Japan,1980,Drama,Ultraman 80,6847
1203,Japan,1972,Drama,Ultraman Ace,6844
1204,Japan,2001,Drama,Ultraman Cosmos,4937
1205,Japan,2022,Drama,Ultraman Decker,46662
1206,Japan,1997,Drama,Ultraman Dyna,5186
1207,Japan,1998,Drama,Ultraman Gaia,4969
1208,Japan,2017,Drama,Ultraman Geed,17255
1209,Japan,2013,Drama,Ultraman Ginga,6806
1210,Japan,2014,Drama,Ultraman Ginga S,10970
1211,Japan,1974,Drama,Ultraman Leo,6846
1212,Japan,2005,Drama,Ultraman Max,4598
1213,Japan,2006,Drama,Ultraman Mebius,3439
1214,Japan,2004,Drama,Ultraman Nexus,5680
1215,Japan,2016,Drama,Ultraman Orb,14588
1216,Japan,2018,Drama,Ultraman R/B,21429
1217,Japan,2019,Drama,Ultraman Taiga,25788
1218,Japan,1973,Drama,Ultraman Taro,6845
1219,Japan,1996,Drama,Ultraman Tiga,4848
1220,Japan,2000,Movie,Ultraman Tiga: The Final Odyssey,4984
1221,Japan,2021,Drama,Ultraman Trigger: New Generation Tiga,40835
1222,Japan,2015,Drama,Ultraman X,12534
1223,Japan,2020,Drama,Ultraman Z,32334
1224,Japan,2010,Movie,Ultraman Zero: The Revenge of Belial,5376
1225,Japan,2004,Movie,Ultraman: The Next,4966
1226,Japan,1967,Drama,Ultraseven,5048
1227,Japan,1958,Movie,Varan,4675
1228,Japan,1999,Drama,Voicelugger,11802
1229,Japan,1966,Movie,Wrath of Daimajin,4844
1273,Japan,2022,Drama,Kei×Yaku: Abunai Aibou,44387
1274,Japan,2021,Drama,Kieta Hatsukoi,43070
1282,Japan,2022,Drama,Old Fashion Cupcake,47386
1315,Japan,2021,Drama Special,Zettai BL ni Naru Sekai VS Zettai BL ni Naritakunai Otoko,39721
1316,Japan,2022,Drama Special,Zettai BL ni Naru Sekai VS Zettai BL ni Naritakunai Otoko 2,44600
1400,Japan,2020,Drama,Life: Senjou no Bokura,32126
1413,Japan,2015,Movie,Seven Days: Friday - Sunday,11791
1414,Japan,2015,Movie,Seven Days: Monday - Thursday,11394
1418,Japan,2018,Drama,Switched,20401
1427,Japan,2013,Drama,Last Cinderella,6024
1434,Japan,2020,Drama,30-sai made Dotei Da to Mahotsukai ni Nareru rashii,35547
1435,Japan,2015,Drama,5-ji Kara 9-ji Made,12822
1461,Japan,2018,Drama,Black Pean,20301
1462,Japan,2020,Drama,Bokura wa Koi ga Hetasugiru,35926
1464,Japan,2007,Movie,Boys Love: The Movie,2061
1465,Japan,2020,Movie,"Boys! Please Kiss Him, Instead of Me",31114
1468,Japan,2016,Movie,Chihayafuru: Kami no Ku,11544
1469,Japan,2018,Drama,Chihayafuru: Tsunagu,20399
1474,Japan,2014,Movie,Close Range Love,8832
1479,Japan,2016,Drama,Dame na Watashi ni Koishite Kudasai,13309
1480,Japan,2017,Movie,Daytime Shooting Star,15181
1486,Japan,2021,Drama,Douse Mou Nigerarenai,42880
1496,Japan,2016,Movie,Drowning Love,13720
1498,Japan,2013,Movie,Enoshima Prism ,6409
1519,Japan,2011,Drama,Hana Kimi Remake,2204
1520,Japan,2018,Drama,Hana Nochi Hare: HanaDan Next Season,19743
1521,Japan,2018,Drama,Haru ga Kita,16516
1523,Japan,2006,Movie,Heavenly Forest,135
1529,Japan,2015,Movie,Heroine Disqualified,10978
1534,Japan,2021,Drama,Horimiya,37932
1537,Japan,2010,Drama,Hotaru no Hikari 2,74
1541,Japan,2017,Movie,Hyouka: Forbidden Secrets,15650
1542,Japan,2019,Drama,I Don't Love You Yet,23686
1543,Japan,2009,Movie,I Give My First Love to You,82
1546,Japan,2017,Movie,I'm Underage But I'm Not a Child,17532
1552,Japan,2014,Drama Special,Itazura na Kiss 2: Love in Okinawa,9785
1553,Japan,2014,Drama,Itazura na Kiss: Love in Tokyo Season 2,8439
1561,Japan,2007,Drama Special,Kanojo to no Tadashii Asobikata,1750
1562,Japan,2020,Drama,Koi wa Tsuzuku yo Doko Made mo,30216
1563,Japan,2011,Drama,Koukousei Restaurant,1332
1564,Japan,2015,Drama Special,Kurosaki-kun no Iinari ni Nante Naranai,13477
1565,Japan,2014,Movie,L♥DK,6714
1566,Japan,2019,Movie,L♥DK: Two Loves Under One Roof,22935
1568,Japan,2020,Movie,Life: Love on the Line (Director's Cut),37791
1576,Japan,2012,Movie,Love for Beginners,4078
1595,Japan,2016,Drama,"MARS - Tada, Kimi wo Aishiteru",13439
1596,Japan,2016,Movie,"Mars: Tada, Kimi wo Aishiteru",13929
1603,Japan,2016,Movie,Mischievous Kiss The Movie: High School,12757
1623,Japan,2019,Drama,"Nee Sensei, Shiranai no?",29995
1629,Japan,2017,Movie,One Week Friends,13861
1632,Japan,2015,Movie,Orange,11712
1639,Japan,2017,Movie,Peach Girl,14022
1660,Japan,2014,Movie,"Say ""I Love You""",7048
1663,Japan,2008,Drama Special,Sensei wa Erai!,1751
1664,Japan,2020,Drama,Shanai Marriage Honey,37052
1673,Japan,2015,Movie,Strobe Edge,9928
1674,Japan,2016,Drama,Suki na Hito ga Iru Koto,14173
1683,Japan,2011,Drama,Taisetsu na Koto wa Subete Kimi ga Oshiete Kureta,9
1684,Japan,2007,Drama,Tantei Gakuen Q,154
1693,Japan,2016,Movie,The Black Devil and the White Prince,12790
1705,Japan,2013,Movie,The Liar and His Lover,5930
1721,Japan,2017,Movie,Today's Kira-kun,14583
1722,Japan,2018,Drama,Todome no Kiss,19212
1733,Japan,2020,Drama,Watashitachi wa Douka Shiteiru,32244
1735,Japan,2018,Movie,We Love,19110
1747,Japan,2016,Movie,Wolf Girl and Black Prince,12847
1749,Japan,2020,Movie,Wotakoi: Love Is Hard for Otaku,22460
1752,Japan,2018,Movie,You Are the Apple of My Eye,18943
1754,Japan,2016,Movie,Your Lie in April,12831
1769,Japan,2021,Movie,Drive My Car,39259
1770,Japan,2022,Drama,First Love: Hatsukoi,38142
1785,Japan,2014,Movie,Little Forest: Summer & Autumn,9414
1786,Japan,2015,Movie,Little Forest: Winter & Spring,10735
1810,Japan,2018,Movie,Shoplifters,20955
1819,Japan,2018,Movie,The Many Faces of Ito,17833
1831,Japan,2013,Drama,All Esper Dayo!,6198
1838,Japan,2019,Drama,The Naked Director,23685
1844,Japan,2017,Drama,Boku Dake ga Inai Machi,16937
1882,Japan,2014,Drama,Ressha Sentai ToQger,8034
1883,Japan,2012,Movie,Rurouni Kenshin,2909
1884,Japan,2014,Movie,Rurouni Kenshin: Kyoto Inferno,6804
1885,Japan,2021,Movie,Rurouni Kenshin: The Beginning,25726
1886,Japan,2021,Movie,Rurouni Kenshin: The Final,25725
1887,Japan,2014,Movie,Rurouni Kenshin: The Legend Ends,6805
1890,Japan,2015,Drama,Shuriken Sentai Ninninger,10620
1895,Japan,2019,Movie,The Fable,22125
1924,Japan,2017,Movie,I Want to Eat Your Pancreas,15008
1930,Japan,2019,Movie,Masquerade Hotel,19036
1945,Japan,2015,Drama,Death Note,11714
1949,Japan,2022,Drama,Imawa no Kuni no Alice Season 2,38659
1961,Japan,2019,Drama,Coffee & Vanilla,26774
2016,Japan,2010,Movie,Confessions,716
