,country,year,kind,title,sid
30686,Japan,2011,Movie,Beginning of Toire no Hanako-san,10357
30689,Japan,2010,Movie,Neko Taxi the Movie,45401
30690,Japan,2012,Drama Special,Yaa ni Naru Hi -Toba Toshijima Paradise-,6555
30691,Japan,1998,Drama Special,Oda Nobunaga ,5187
30701,Japan,2014,Movie,Oh! Tohmei Ningen Inbijiburu Ga-ru Tojou!?,9467
30726,Japan,2005,Drama Special,"Asuka e, Soshite Mada Minu Ko e",5342
30727,Japan,1995,Movie,"Fly Boys, Fly!",16390
30728,Japan,1999,Drama Special,Furuhata Ninzaburo Vs. SMAP,11342
30729,Japan,2009,Drama Special,Hissatsu Shigotonin 2009 New Year Special,12249
30730,Japan,2010,Drama Special,Hissatsu Shigotonin 2010 special,5215
30731,Japan,2012,TV Show,KAT-TUN  no Sekaiichi Dame na Yoru!,20403
30732,Japan,2018,TV Show,KAT-TUN no Sekaiichi Tame ni Naru Tabi +,24278
30733,Japan,2015,TV Show,KAT-TUN no Sekaiichi Tame ni Naru Tabi!,21373
30734,Japan,2019,TV Show,KAT-TUN no Sekaiichi Tame ni Naru Tabi! + SP,39824
30735,Japan,2014,TV Show,KAT-TUN no Sekaiichi Tame ni Naru Tabi! SP 1,21385
30736,Japan,2014,TV Show,KAT-TUN no Sekaiichi Tame ni Naru Tabi! SP 2,21386
30737,Japan,2014,TV Show,KAT-TUN no Sekaiichi Tame ni Naru Tabi! SP 3,21387
30738,Japan,2014,TV Show,KAT-TUN no Sekaiichi Tame ni Naru Tabi! SP 4,21388
30739,Japan,2015,TV Show,KAT-TUN no Sekaiichi Tame ni Naru Tabi! SP 5,39823
30740,Japan,1998,Drama,Shounentachi,29261
30741,Japan,2013,Drama,Strawberry Midnight,32271
30742,Japan,2019,Drama,Legal Heart,26206
30743,Japan,2022,Drama,5 Bun Nochi ni Igaina Ketsumatsu,49070
30745,Japan,2022,Drama,Sayonara no Mukougawa,48309
30746,Japan,2021,TV Show,01familia wa Homeraretai,46983
30747,Japan,2009,TV Show,Dasshutsu Game DERO!,40788
30748,Japan,2012,TV Show,Getsuyou Kara Yofukashi,25299
30749,Japan,1994,TV Show,Guru Guru Ninety Nine,40711
30750,Japan,2018,Movie,Kamen Rider Amazons Season 1 the Movie: Awakening,45796
30751,Japan,2018,Movie,Kamen Rider Amazons Season 2 the Movie: Reincarnation,45795
30752,Japan,2001,Drama Special,Kamen Rider Kuuga: Special Chapter,47036
30753,Japan,2010,Drama Special,"Kamen Rider W Forever: From A to Z, 26 Rapid-Succession Roars of Laughter",30041
30754,Japan,1983,TV Show,Kasou Taishou,25591
30755,Japan,2009,TV Show,Manten Aozora Restaurant,37664
30756,Japan,2015,TV Show,Matsuko Kaigi,25666
30757,Japan,1999,Drama,Moero!! Robocon,45880
30758,Japan,2013,TV Show,Ninosan,22221
30759,Japan,2019,TV Show,Quiz! Are You Smarter than a 5th Grader?,47653
30760,Japan,2019,Drama Special,Tantei ga Hayasugiru SP,44137
30761,Japan,2004,TV Show,Tensai! Shimura Doubutsuen,23650
30762,Japan,1995,TV Show,The! Tetsuwan! DASH!!,18894
30763,Japan,2015,TV Show,Yoru no Chimata wo Haikaisuru,44093
30764,Japan,1976,Movie,Autumn Interlude,15147
30768,Japan,2021,TV Show,Who Is Princess?,44148
30789,Japan,2005,Drama,Aibou Season 4,3402
30790,Japan,2006,Drama,Aibou Season 5,3403
30791,Japan,2007,Drama,Aibou Season 6,3404
30792,Japan,2008,Drama,Aibou Season 7,3405
30794,Japan,2008,Drama,Shoni Kyumei,1838
30796,Japan,2011,Drama,Tokyo Control,6481
30800,Japan,2011,TV Show,Gaki no Tsukai No Laughing Batsu Game: Airport,37605
30801,Japan,2015,TV Show,Gaki no Tsukai No Laughing Batsu Game: Detective Agency,37610
30802,Japan,2012,TV Show,Gaki no Tsukai No Laughing Batsu Game: Enthusiastic Teachers,37606
30803,Japan,2008,TV Show,Gaki no Tsukai No Laughing Batsu Game: Newspaper Agency,37602
30804,Japan,2016,TV Show,Gaki no Tsukai No Laughing Batsu Game: Science Lab,37611
30805,Japan,2010,TV Show,Gaki no Tsukai No Laughing Batsu Game: Spy Agency,37604
30806,Japan,2003,Movie,"Her Island, My Island",17869
30808,Japan,2012,Movie,It All Started with Taking it All Off,37972
30811,Japan,2011,TV Show,No Laughing Airport,28383
30812,Japan,2012,TV Show,No Laughing Enthusiastic Teachers,28387
30813,Japan,2008,Movie,Rebellion: The Killing Isle,1804
30814,Japan,2006,Movie,Romance of Darkness,9923
30818,Japan,2006,Movie,The Mamiya Brothers,1628
30822,Japan,2010,Movie,Wig,14399
30830,Japan,2017,Drama Special,Aoi Tori Nante,18011
30831,Japan,2019,Drama,Atarashii Osama Season 2,24277
30832,Japan,2010,Movie,Nirai No Oka: A Song of Gondola,27469
30835,Japan,2021,TV Show,Run! Run! Rampage!!,40265
30836,Japan,2007,Movie,"Ryukyu Cowboys, Yoroshiku Gozaimasu",27468
30838,Japan,2011,Movie,Bite Me If You Love Me,24987
30839,Japan,2005,Movie,Christmas in August,19938
30842,Japan,2016,Movie,The Crawler in the Attic,14724
30845,Japan,2016,Movie,Summer Song,14743
30846,Japan,2022,TV Show,Heart Signal Japan,48680
30847,Japan,1989,Movie,Beijing Watermelon,28695
30848,Japan,2006,Movie,Damejin,8300
30849,Japan,2001,Movie,Darkness in the Light,19547
30850,Japan,2020,Movie,Koshien: Japan’s Field Of Dreams,41632
30851,Japan,2018,Movie,Life in Overtime,19401
30853,Japan,1939,Movie,Singing Lovebirds,16523
30854,Japan,1964,Movie,The Scarlet Camellia,28079
30855,Japan,2022,Movie,This Is Amiko,41247
30858,Japan,2008,Movie,Deep Sea Monster Reigo,23489
30874,Japan,1992,Drama,"Sono Toki, Heart wa Nusumareta",5185
30875,Japan,2014,Drama Special,Hitojichi no Roudokukai,8620
30879,Japan,1936,Movie,Capricious Young Man,26423
30880,Japan,1936,Movie,Kochiyama Soshun,28505
30882,Japan,1960,Movie,The Blind Menace,15155
30884,Japan,2021,Drama Special,Kamen Rider Saber: Gather! Hero!! The Out-of-Nowhere Dragon TVKun,46656
